Full body antrenman     :Antrenmanda tum vucut calistirilir.
Bromance                :Kankalarin birbirine duydugu, cinsellik icermeyen sevgi.
Broscience              :Bilimsel olmayan, kulaktan dolma; ancak bilimselmis gibi ifade edilen iddialar. %50 gercek %50 büyü ama %100 sonuc.
Split antrenman         :Belirli gunlerde belirli bolge veya bolgeler calisilir.
Bodybuilding            :Vucut gelistirme; kas kutlesinin artirilmasi ve simetrik bir gorunume ulasma.
Bench                   :Bank anlamında kullanilir. Ornegin, gym salonlarinda bulunan duz banklar.
Progressive Overload    :Kademeli artis, duzenli agirlik arttirmak.
Compound                :Bilesik egzersizleri acıklamaktadir. Birden fazla kasi aktif sekilde calistiran hareketlerdir. Ornegin: Deadlift, Squat vb.
Deload                  :Asamali olarak artan yuklenmelerden sonra bir noktada tikanildigi zaman vucudun dinlendirilmesi ve yuklenmelerin dusurulmesi anlamina gelir.
RPE                     :Hissedilen zorluk seviyesi anlamina gelir.(Rating of perceived exertion)
Deri altı yagi          :Deri ve kas arasindaki yag.
Atrofi                  :Kullanilmama durumu veya hastalik, rahatsizlik sonucu kas kaybi.
Pump                    :Pump ibaresi kirli kanin kas icinde toplanmasi yerine kullanilir.
Kardiyo                 :Kalp, damar ve akcigerleri yuksek tempoda calistiran ve guclendiren egzersiz grubudur. Kalp ritmini yukselterek, nefes alısverisini hizlandirmaktadir.
Glikojen                :Karbonhidratlarin kas ve karacigerde depolanma bicimleri.
Mobilite                :Mobilite yani eklem hareketliligi, iki kemigin birlestigi yeri cevreleyen dokularin (baglar, tendonlar, kaslar) kisitlanmadan hareket edebilmesi olarak ifade edilebilir.
Femur                   :Uyluk kemigi.
Aerobik                 :Uzun sureli olan ve dusuk-orta siddette yapılan calısmalardir.
Gecikmeli kas agrisi    :Bir antrenmandan sonra olusan kas agrilari.(DOMS)
Incline                 :Egimli olan anlaminda.
Insulin                 :Kandaki glikoz ve amino asitleri hucrelere ulastiran hormon.
Insulin direnci         :Sekeri kontrol etmek icin salgilanan insulinin etkisini gostermesindeki zorluk. Insulin direnci gelistiginde hucrelere glikoz giremez, kullanilamaz.
Eksantrik kasilma       :Kasilma sirasinda kasin boyunun uzadigi kasilma turu.
Intensity               :Yogunluk, siddet anlamindadir. Antrenmanda ne kadar yuk kullanildigi, hangi siddet araliklarinda calisildigini ifade eder.
Antagonist              :Agonist kaslarin tersine calisan bir etkiye sahip olan kas.
Katabolik               :Anabolizma sonucu meydana gelen maddelerin enerji elde etmek icin yikilmasina katabolizma denir.
Fleksiyon               :Bukme. Ornegin biceps (pazu) kasinizi en asagidan yukariya dogru bukmeniz.
Hipertrofi              :Kasin enine kesit alaninin genislemesi, boyut artisi, buyumesi.
Ektomorf                :Ince kemikli, dar omuzlu vucut yapisina verilen ad.
Endomorf                :Iri yapili, genelde kilolu olan sporcularin vucut yapisina verilen ad.

Plato                   :Gözlemlenebilir bir ilerlemenin görülmediği evre, durgunluk

Glisemi                 : Kan şekeri düzeyi.

Glisemik indeks         : Besinin glikozun sindirim hızı ile karşılaştırıldığında ne oranda ve ne kadar hızlı sindirildiğini ölçmektedir.

Eklem                   : Kemiklerin uç uca gelip birleştikleri yer.

Hitching                : Aksama, aksaklık, aksilik anlamında kullanılır.

Kronik                  : Devamlı olarak sürdürülen.

Gainz                   : Genellikle vücut geliştirme sporcularından duyacağınız kas kazanımı anlamında kullanılan ‘kazanç’ terimi.

Agonist                 : Kas kasılmasında doğrudan çalışan kas.

Maksimal yüklenme       : 1RM’in %90-100’ı kadar yüklenmeyi tanımlamaktadır.

Orta yüklenme           : 1RM üzerinden %50-80 oranındaki ağırlıklarla yükleme.

Ekstansiyon             : Açma.

